Time,Linear Pos X,Linear  Pos Y,Linear Pos Z,Angular Pos X,Angular Pos Y,Angular Pos Z,Lineal Vel X,Lineal Vel Y,Lineal Vel Z,Angular Vel X,Angular Vel Y,Angular Vel Z
1681947754,1.8767173587405444,0.6324038417886078,0.6167068817462775,-0.15977636881716029,0.00024337470686997388,0.9347792086030763,-0.044316674327093145,-0.06084831478889331,-0.077239929345089,0.0,0.0,0.1
1681947755,1.8051149380043328,0.6761524297715147,0.5980007012814891,-0.15571065020317135,0.0004758534341387196,0.9178544886475397,-0.08881153887184998,0.007747705497393689,-0.051585228057590506,0.0,0.0,0.1
1681947755,1.76454435096028,0.7108462630433385,0.5982174583504971,-0.15437353677834295,0.00042875270338163095,0.9097123270896008,-0.054069188432055076,-0.05772666426568231,-0.07391126851177661,0.0,0.0,0.1
1681947756,1.7542522057032077,0.7338065097514689,0.5942131868077493,-0.15418536350958453,-1.741541479402903e-05,0.9056849526831574,-0.0469424555836454,-0.04243119534678712,-0.06972442074599891,0.0,0.0,0.1
1681947757,1.745272772649952,0.753739726275345,0.5754393860123247,-0.1522623552486598,0.00035614827572847725,0.8988803435553913,0.16314739999841393,-0.3,-0.5,0.0,0.0,0.1
1681947758,1.7285858937589544,0.773019526468819,0.5483735828639797,-0.15081202350180853,1.3473688044493656e-05,0.8905624066492744,-0.017514983942007987,-0.17141423830439423,-0.2515245648782659,0.0,0.0,0.1
1681947759,1.65020855789498,0.8345307704848619,0.47603507257636635,-0.14893924340623457,0.00023704379892821426,0.8761143910857896,-0.03521087822230903,-0.03606107283294262,-0.18086590664196683,0.0,0.0,0.1
1681947759,1.57804988769482,0.8803530123204107,0.467787126337859,-0.14740873427800244,0.00035220905199063367,0.8660495612034177,-0.03499684460279206,-0.07463355580084102,-0.1979972371890413,0.0,0.0,0.1
1681947760,1.5455040689337618,0.9053732614341596,0.4497954000529431,0.14161020866286655,0.0005600796983740421,-0.8334229994750302,-0.03748780971765405,-0.0665752075211802,-0.18458526307975354,0.0,0.0,0.1
1681947761,1.518378150883966,0.9126073228556089,0.40964635560952845,0.1357807734722479,0.0015330787148511256,-0.7926896142054412,-0.06924738400722658,-0.17386020603586538,0.08727565292620607,0.0,0.0,0.1
1681947762,1.4786297680337543,0.9497926109369309,0.470704864822813,0.13408143826972163,0.0018404396817405123,-0.7839162363604091,-0.024203020695286334,-0.09968988278841658,-0.050350046189065634,0.0,0.0,0.1
1681947763,1.3934124025055576,0.963702348564317,0.4934365038883849,0.1352447169530102,0.0015339558631523329,-0.7834298250007576,-0.055971742792807457,0.004399853729723763,-0.01820550709446977,0.0,0.0,0.1
1681947763,1.314592005249956,0.9651878489837691,0.5041469830881288,0.1355264338349857,0.0025853724534368855,-0.7839365379351115,-0.05259508188633631,-0.08582673454946904,-0.011303351634078267,0.0,0.0,0.1
